"","Name","25-Aug","","Team","","","","","","","","","","","",""
"161","Dean Kremer","106","665152","BAL","-3.5","151","88%","155","171.2","13.70%","4.56","19.99%","96","100","95","4.19"
"162","JP Sears","225","676664","SDP","-3.3","131","93%","132","135.2","13.89%","4.64","19.59%","98","104","101","5.04"
"163","Carmen Mlodzinski","","669387","PIT","-5.8","75","75%","72","99","14.80%","3.83","21.73%","100","105","105","3.55"
"164","Hayden Birdsong","90","806185","SFG","-8.1","55","82%","61","65.2","10.40%","4.44","22.87%","96","89","88","4.8"
"165","Jack Perkins","80","678022","ATH","","59","73%","34","38.2","11.80%","4.2","23.77%","100","96","96","4.19"
"166","Charlie Morton","91","450203","","-6.3","50","68%","86","142","11.77%","4.35","22.34%","99","95","94","5.83"
"167","Cade Povich","104","700249","BAL","-7","86","88%","41","112.1","15.37%","4.37","22.10%","98","99","96","5.21"
"168","Blade Tidwell","100","694918","SFG","","65","74%","30","15","0.00%","4.33","21.01%","106","95","103","9"
"169","Payton Tolle","","801139","BOS","-1.8","59","75%","51","16.1","14.90%","3.69","26.82%","115","91","106","6.06"
"170","David Festa","90","701581","MIN","-3.4","58","77%","50","53.1","14.85%","4.05","24.15%","89","106","99","5.4"
"171","River Ryan","","689981","LAD","-10.6","81","","45","","","4.14","21.75%","","","",""
"172","Adrian Houser","126","605288","SFG","-6.3","121","78%","147","125","10.42%","4.36","17.57%","94","104","99","3.31"
"173","Anthony Kay","","641743","CHW","-5.8","129","","139","155","","","","","","",""
"174","Sean Burke","110","680732","CHW","-11.3","","85%","151","134.1","11.74%","4.54","21.80%","92","100","96","4.22"
"175","Foster Griffin","","656492","WSN","5","109","","143","78","","","","","","",""
"176","Randy Vásquez","225","681190","SDP","-15","111","90%","147","133.2","4.56%","4.76","16.35%","93","102","94","3.84"
"177","Shane Smith","117","681343","CHW","-0.9","169","83%","168","146.1","14.12%","4.49","21.23%","95","97","93","3.81"
"178","Davis Martin","125","663436","CHW","-9.4","151","84%","159","142.2","9.32%","4.59","18.02%","93","98","92","4.1"
"179","Hunter Dobbins","","690928","STL","-7","95","71%","102","61","10.94%","4.63","17.17%","96","106","103","4.13"
