"Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","FPTS","FPTS_G","SPTS","SPTS_G","ADP","Pos","minpos","UPURL","teamid","League","PlayerName","xMLBAMID","playerids","playerid","projection_system","projection_type","season"
"CIN","Reds",148.702,574.197,640.66,146.637,91.1782,30.1963,3.72607,21.5364,91.5905,69.6008,57.6382,4.96968,177.062,3.30519,3.97547,1.5439,9.17541,40.6031,9.67657,0.255377,0.324793,0.433465,0.758258,0.326184,0.0899669,0.276374,0.325526,0.178088,6.88941,0.329581,,,82.5281,6.82916,0.56,3.18646,3.18646,3.56652,6.33890342712402,7.20531183481216,104.152,798.7,5.360402684,798.7,5.360402684,8.5,0.02469136,"SS","/players/elly-de-la-cruz/26668/stats/batting",18,"NL","Elly De La Cruz",682829,"26668","26668","batx","thebatx",2026
"CHC","Cubs",148.699,563.435,641.169,142.044,90.8399,27.7583,0.836563,22.6093,76.4275,80.7297,63.5199,1.41648,90.3555,7.87673,5.4101,0.92677,12.1059,2.30458,0.911925,0.252103,0.333375,0.424722,0.758096,0.330186,0.0990689,0.140923,0.703,0.172618,2.55479,0.261987,,,84.677,8.91798,0.48,-0.974215,-0.974215,3.42145,9.33457583189011,2.77473756670952,113.566,752.3,5.048993288,752.3,5.048993288,118.400001525879,0.00877193,"3B","/players/alex-bregman/17678/stats/batting",17,"NL","Alex Bregman",608324,"17678","17678","batx","thebatx",2026
"HOU","Astros",137.4,540.563,592.536,147.256,100.968,27.8038,1.99088,16.4933,76.2772,65.4223,34.3427,0.753652,106.394,10.077,3.93822,2.21316,12.8793,16.6084,3.99223,0.272412,0.325469,0.422746,0.748215,0.325019,0.0579588,0.179558,0.322786,0.150335,5.33826,0.310147,,,75.7681,5.75542,-0.37,0.731972,0.731972,3.41838,7.02588361501694,5.99111068248749,109.012,678.3,4.95109489,678.3,4.95109489,111.26000213623,0.01587302,"SS","/players/jeremy-pena/21636/stats/batting",21,"AL","Jeremy Peña",665161,"21636","21636","batx","thebatx",2026
"ATH","Athletics",128.415,478.08,525.998,122.257,66.7897,25.4765,1.47001,28.5203,71.1088,76.5617,39.1035,1.11622,121.477,4.11217,3.96542,0.737356,7.31251,5.99192,1.76852,0.255724,0.315029,0.494131,0.80916,0.344379,0.0743415,0.230945,0.321901,0.238407,4.19764,0.282297,,,75.528,13.3773,-3.75,-0.244708,-0.244708,3.38923,11.5059961378574,3.51628017425537,118.954,690.8,5.396875,690.8,5.396875,54.7400016784668,0.12903226,"C","/players/shea-langeliers/25816/stats/batting",10,"AL","Shea Langeliers",669127,"25816","25816","batx","thebatx",2026
"PHI","Phillies",140.172,522.261,606.854,142.539,86.0565,28.3377,2.24958,25.8952,84.4971,85.5223,74.6844,7.59137,126.686,4.75266,4.17573,0.980151,11.4348,10.3344,3.82847,0.272927,0.366373,0.484549,0.850923,0.363647,0.123068,0.208759,0.589521,0.211623,4.49607,0.312003,,,96.6313,24.9268,0.39,-0.543356,-0.543356,3.36872,23.2524256706238,-10.5168203115463,133.084,863.6,6.168571428,863.6,6.168571428,47.6500015258789,0.01515152,"OF","/players/bryce-harper/11579/stats/batting",26,"NL","Bryce Harper",547180,"11579","11579","batx","thebatx",2026
"CHC","Cubs",153.172,564.235,629.433,138.528,87.707,27.0767,1.56744,22.1766,78.9743,76.5909,50.9052,0.981613,163.38,3.667,4.45326,1.1125,10.1619,15.3038,4.36396,0.245514,0.309822,0.41697,0.726792,0.315176,0.0808746,0.259567,0.311575,0.171456,5.00814,0.303685,,,75.4562,1.08381,2.07,0.340849,0.340849,3.36533,2.79001131653786,9.16129612922668,103.283,693.2,4.530718954,693.2,4.530718954,149.929992675781,0,"SS","/players/dansby-swanson/18314/stats/batting",17,"NL","Dansby Swanson",621020,"18314","18314","batx","thebatx",2026
"SDP","Padres",146.603,568.315,628.663,148.282,92.8784,27.2651,0.0219359,28.1168,79.2669,86.3303,51.5054,3.64974,120.984,2.30558,5.69598,0.624971,11.1998,8.26778,3.55186,0.260916,0.321896,0.45739,0.779286,0.333509,0.0819284,0.192447,0.425719,0.196474,3.23783,0.282802,,,84.7213,10.4399,-0.27,-0.745295,-0.745295,3.36191,12.5085588097572,-0.56509467959404,117.788,768.3,5.226530612,768.3,5.226530612,37.5299987792969,0.08805031,"3B","/players/manny-machado/11493/stats/batting",29,"NL","Manny Machado",592518,"11493","11493","batx","thebatx",2026
"CHC","Cubs",146.878,561.196,617.769,136.694,82.0303,26.6592,5.96889,22.036,86.9894,66.6717,36.137,2.35011,153.698,8.08734,4.98338,7.36509,5.43256,35.3419,6.32787,0.243577,0.296392,0.430152,0.726544,0.31135,0.058496,0.248795,0.235117,0.186575,7.8693,0.29366,,,72.1388,-0.85535,5.81,3.65903,3.65903,3.35316,4.14372977614403,8.07663583755493,100.662,707.2,4.810884353,707.2,4.810884353,32.1399993896484,0.00636943,"OF","/players/pete-crow-armstrong/27769/stats/batting",17,"NL","Pete Crow-Armstrong",691718,"27769","27769","batx","thebatx",2026
"SDP","Padres",136.389,507.008,569.657,134.179,92.3645,24.9859,1.78676,15.0418,72.1989,61.5604,44.941,1.41638,101.949,4.93893,5.39197,0.901999,11.5195,16.2345,5.357,0.264649,0.327344,0.409981,0.737325,0.320799,0.0788914,0.178966,0.440818,0.145333,5.09743,0.301301,,,70.8911,3.58176,0.12,0.123418,0.123418,3.23736,6.25499008595943,6.43430577963591,109.082,634.7,4.666911764,634.7,4.666911764,239.490005493164,0.06716418,"SS","/players/xander-bogaerts/12161/stats/batting",29,"NL","Xander Bogaerts",593428,"12161","12161","batx","thebatx",2026
"NYY","Yankees",139.829,518.786,584.631,121.117,71.3121,20.5263,2.67019,26.6086,84.8043,68.1181,55.7742,1.96994,158.249,4.83176,3.99414,1.24533,7.89111,31.2003,8.18299,0.233463,0.311497,0.437194,0.748691,0.322939,0.0954006,0.270682,0.352445,0.203731,6.4761,0.279676,,,73.7701,4.69147,1.82,2.03111,2.03111,3.22633,7.63487100601196,3.77712416648865,108.133,709.9,5.070714285,709.9,5.070714285,19.9200000762939,0,"2B/OF","/players/jazz-chisholm-jr/20454/stats/batting",9,"AL","Jazz Chisholm Jr.",665862,"20454","20454","batx","thebatx",2026
"MIN","Twins",121.103,468.056,521.832,116.816,60.1562,27.7634,2.04111,26.8553,74.5765,73.8871,41.416,1.93669,143.965,8.49842,3.32911,0.532146,5.34811,14.4498,3.29681,0.249577,0.319836,0.489744,0.80958,0.345089,0.0793665,0.275884,0.287681,0.240167,5.71668,0.299305,,,75.2305,13.572,-0.26,0.825992,0.825992,3.21047,14.0522353053093,-0.633774757385254,121.505,698.8,5.775206611,698.8,5.775206611,72.25,0.06349206,"OF","/players/byron-buxton/14161/stats/batting",8,"AL","Byron Buxton",621439,"14161","14161","batx","thebatx",2026
"ARI","Diamondbacks",150.441,551.802,648.401,140.716,100.367,25.4888,3.66758,11.1922,80.9348,55.2099,71.6081,1.23461,88.6968,6.93382,5.46278,12.5944,12.6069,18.1548,5.66982,0.255011,0.344849,0.375345,0.720195,0.319522,0.110438,0.136793,0.807335,0.120334,5.52979,0.283188,,,80.0178,3.4042,-0.26,0.136117,0.136117,3.18094,2.81311392784119,6.70486092567444,103.483,690.7,4.604666666,690.7,4.604666666,76.1900024414062,0,"SS","/players/geraldo-perdomo/22799/stats/batting",15,"NL","Geraldo Perdomo",672695,"22799","22799","batx","thebatx",2026
