"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_2536__dunedin__R","venue_2536__dunedin","R",835,"2536","TD Ballpark","TOR",0.0110044853395119,0.00609845509152088,0.000840913225282707,0.00221781970269501,0.0118453985647946,243.354496519091,0.00648921248973703,"xbh_resid"
"venue_2602__base__L","venue_2602__base","L",17285,"2602","Great American Ball Park","CIN",0.00817880972178383,0.00234563222932871,0.0012990194422367,0.00189259019958347,0.00947782916402053,214.701875202431,0.00301394894097843,"xbh_resid"
"venue_2602__base__R","venue_2602__base","R",25036,"2602","Great American Ball Park","CIN",0.00817880972178383,0.00234563222932871,-0.000719800186306559,0.00188544668803973,0.00745900953547727,190.269867294076,0.00300946835316565,"xbh_resid"
"venue_2680__base__L","venue_2680__base","L",17331,"2680","Petco Park","SDP",-0.00573808762132263,0.00234851591439768,-0.000508376208300651,0.00189444241135495,-0.00624646382962328,24.4045126534005,0.00301735630148638,"xbh_resid"
"venue_2680__base__R","venue_2680__base","R",24610,"2680","Petco Park","SDP",-0.00573808762132263,0.00234851591439768,0.000102007683353858,0.0018877130149907,-0.00563607993796877,31.7914549325363,0.0030131358129272,"xbh_resid"
"venue_2681__base__L","venue_2681__base","L",18909,"2681","Citizens Bank Park","PHI",0.0022342865757117,0.00233767407031077,0.00106379418946987,0.00188713248397227,0.00329808076518157,139.913786352203,0.00300432838935205,"xbh_resid"
"venue_2681__base__R","venue_2681__base","R",24103,"2681","Citizens Bank Park","PHI",0.0022342865757117,0.00233767407031077,-0.000905563120164449,0.00188266178195459,0.00132872345554725,116.08037762015,0.00300152218786331,"xbh_resid"
"venue_2735__base__L","venue_2735__base","L",128,"2735","Journey Bank Ballpark","NYM",-0.00376038385530631,0.00763710769620135,-0.000210651582234942,0.00224610766623064,-0.00397103543754126,51.9420319464729,0.00796055359957321,"xbh_resid"
"venue_2735__base__R","venue_2735__base","R",107,"2735","Journey Bank Ballpark","NYM",-0.00376038385530631,0.00763710769620135,-5.56569409791412e-05,0.00224746967363168,-0.00381604079628545,53.817796500856,0.00796093800360686,"xbh_resid"
"venue_2756__base__L","venue_2756__base","L",18,"2756","Sahlen Field","TOR",-0.000121328356671687,0.00830499971608706,9.45561048570792e-05,0.00225380966812213,-2.67722518146083e-05,99.6759988565541,0.00860538658657047,"xbh_resid"
"venue_2756__base__R","venue_2756__base","R",23,"2756","Sahlen Field","TOR",-0.000121328356671687,0.00830499971608706,-0.000103148519018106,0.0022534184332466,-0.000224476875689793,97.2833527450626,0.00860528412776137,"xbh_resid"
"venue_2756__buffalo__L","venue_2756__buffalo","L",298,"2756","Sahlen Field","TOR",0.00623578632931408,0.00595865264729232,-0.00011229310989744,0.00223548173896389,0.00612349321941664,174.107281625501,0.00636419044155067,"xbh_resid"
"venue_2756__buffalo__R","venue_2756__buffalo","R",899,"2756","Sahlen Field","TOR",0.00623578632931408,0.00595865264729232,0.00055390841097764,0.00221561728101924,0.00678969474029172,182.169735842039,0.00635724006995449,"xbh_resid"
"venue_2889__base__L","venue_2889__base","L",17541,"2889","Busch Stadium","STL",-0.0110995015327964,0.0023366704962203,-0.000667453265186728,0.00188975720378555,-0.0117669547979832,-42.4051602316878,0.00300519738073322,"xbh_resid"
"venue_2889__base__R","venue_2889__base","R",26589,"2889","Busch Stadium","STL",-0.0110995015327964,0.0023366704962203,-0.000118607939030212,0.00188181981249681,-0.0112181094718266,-35.762965377066,0.00300021246157867,"xbh_resid"
"venue_2__base__L","venue_2__base","L",9254,"2","Oriole Park at Camden Yards","BAL",0.00281331950677435,0.00264952506402057,0.000299216752930126,0.00198801396390634,0.00311253625970447,137.668303516057,0.00331242850270912,"xbh_resid"
"venue_2__base__R","venue_2__base","R",16457,"2","Oriole Park at Camden Yards","BAL",0.00281331950677435,0.00264952506402057,-9.99788580784714e-05,0.00197511378388279,0.00271334064869587,132.837188250856,0.00330470233518195,"xbh_resid"
"venue_2__wall_deep__L","venue_2__wall_deep","L",5772,"2","Oriole Park at Camden Yards","BAL",-0.0119336471305448,0.00316986354790416,-0.000489884117978752,0.0020708826371838,-0.0124235312485235,-50.3511306419403,0.00378636894786032,"xbh_resid"
"venue_2__wall_deep__R","venue_2__wall_deep","R",6779,"2","Oriole Park at Camden Yards","BAL",-0.0119336471305448,0.00316986354790416,-0.000355250864558196,0.00206625272041099,-0.012288897995103,-48.7217821524607,0.00378383868801742,"xbh_resid"
"venue_2__wall_medium__L","venue_2__wall_medium","L",3117,"2","Oriole Park at Camden Yards","BAL",0.00323309030817086,0.00385691244581411,0.00149100256857182,0.00213872540215003,0.00472409287674268,157.171563468334,0.00441020633989812,"xbh_resid"
"venue_2__wall_medium__R","venue_2__wall_medium","R",3386,"2","Oriole Park at Camden Yards","BAL",0.00323309030817086,0.00385691244581411,-0.00126203671335155,0.00213604658300574,0.00197105359481931,123.853937387743,0.00440890787150812,"xbh_resid"
"venue_31__base__L","venue_31__base","L",18410,"31","PNC Park","PIT",-0.00238103640235321,0.00233078680539382,0.00329579228559869,0.00188442945170724,0.000914755883245481,111.070490229875,0.00299727234175669,"xbh_resid"
"venue_31__base__R","venue_31__base","R",25659,"31","PNC Park","PIT",-0.00238103640235321,0.00233078680539382,-0.00346441610497652,0.00187820478351763,-0.00584545250732973,29.2576018839057,0.00299336271457811,"xbh_resid"
"venue_3289__base__L","venue_3289__base","L",12725,"3289","Citi Field","NYM",-0.00868039651599114,0.00256229715273247,0.00021783565355448,0.00195771945195676,-0.00846256086243666,-2.41497110129603,0.00322459798292295,"xbh_resid"
"venue_3289__base__R","venue_3289__base","R",15187,"3289","Citi Field","NYM",-0.00868039651599114,0.00256229715273247,-0.000832577037956935,0.00195368175875526,-0.00951297355394807,-15.1271970095421,0.00322214821406371,"xbh_resid"
"venue_3289__rf_in_362__L","venue_3289__rf_in_362","L",6379,"3289","Citi Field","NYM",-0.00594254888661359,0.00303410952167601,0.000198945151731108,0.00205639350016042,-0.00574360373488248,30.4901884799074,0.00366532056129162,"xbh_resid"
"venue_3289__rf_in_362__R","venue_3289__rf_in_362","R",7732,"3289","Citi Field","NYM",-0.00594254888661359,0.00303410952167601,-0.000619793522272071,0.00205113923363416,-0.00656234240888566,20.5817105379945,0.00366237528733449,"xbh_resid"
"venue_32__base__L","venue_32__base","L",17577,"32","American Family Field","MIL",0.00352266296121558,0.00234986892637844,0.000104959923295992,0.00189406578465744,0.00362762288451158,143.901946340233,0.00301817315072694,"xbh_resid"
"venue_32__base__R","venue_32__base","R",24214,"32","American Family Field","MIL",0.00352266296121558,0.00234986892637844,0.000144513323873828,0.00188789575300644,0.00366717628508941,144.380626546259,0.00301430495228647,"xbh_resid"
"venue_3309__base__L","venue_3309__base","L",19687,"3309","Nationals Park","WSH",-0.00360888998738999,0.00232688863279201,-0.000412102233767167,0.00188183218490899,-0.00402099222115716,51.3374486963781,0.00299260807349977,"xbh_resid"
"venue_3309__base__R","venue_3309__base","R",24437,"3309","Nationals Park","WSH",-0.00360888998738999,0.00232688863279201,0.000156522431288414,0.00187771512755318,-0.00345236755610158,58.2190155868032,0.00299002087110754,"xbh_resid"
"venue_3312__base__L","venue_3312__base","L",19877,"3312","Target Field","MIN",0.000181610842967217,0.00232513703999646,-0.00248101951486179,0.00187911684839717,-0.00229940867189458,72.1722683582159,0.002989538824751,"xbh_resid"
"venue_3312__base__R","venue_3312__base","R",24705,"3312","Target Field","MIN",0.000181610842967217,0.00232513703999646,0.00249388110485973,0.00187494344218292,0.00267549194782695,132.379138534142,0.00298691733500414,"xbh_resid"
"venue_3313__base__L","venue_3313__base","L",17271,"3313","Yankee Stadium","NYY",-0.00157062161832977,0.00235036500078411,0.000420713616232905,0.00189620903281494,-0.00114990800209687,86.083669385866,0.00301990468939665,"xbh_resid"
"venue_3313__base__R","venue_3313__base","R",24624,"3313","Yankee Stadium","NYY",-0.00157062161832977,0.00235036500078411,-0.00053194426177273,0.00188945864194603,-0.0021025658801025,74.5544844699331,0.00301567067110044,"xbh_resid"
"venue_3949__base__L","venue_3949__base","L",12,"3949","Rickwood Field","STL",0.000618280930419467,0.00834061128419797,-1.37075339319501e-05,0.0022542754094311,0.000604573396487517,107.316622939129,0.00863988160889119,"xbh_resid"
