local_time,pid,run_state,stage,last_validation,last_line
"2026-03-02 08:30 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 2B residual component model..."
"2026-03-02 08:31 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 2B residual component model..."
"2026-03-02 08:32 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:33 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:34 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:35 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:36 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:37 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:38 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:39 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:40 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:41 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:42 PST","480","running","component_fit_running","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Fitting 3B residual component model..."
"2026-03-02 08:43 PST","480","stopped","completed","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Output directory: data/processed/park_factors"
