"park_era_id","rank","team_id","team","park","years_used","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","overall_pf_idx_100","total_bbe","overall_se","bacon_se","hr_se","xbh_se","carry_se","bacon_rank","hr_rank","xbh_rank","carry_rank"
"venue_4__base",31,"CHW","White Sox","Rate Field","2015-2026",-0.00343319571203305,-0.00416360192237249,0.00250417846958758,-0.00541341389049662,-1.9990907052407,93.8541024155951,104.459658887368,92.4851121549302,95.8270046085776,97.3074611755128,43008,0.00319563026973934,0.00219746992216459,0.00170341152577479,0.00234369225235845,0.782383140545176,47,19,45,40
"venue_2397__base",32,"CHC","Cubs","Wrigley Field","2025",-0.00347324318819978,-0.00123375221893953,-0.00239571060461464,0.00018106600167989,-8.15787429271975,98.1788569311967,95.7335101240578,100.251355377892,82.9708720485838,97.2760532997477,88,0.0139631384391381,0.00796037870716947,0.00606466257093277,0.00812539472486691,3.49505840561872,29,42,26,58
"venue_2394__cf_in_412",33,"DET","Tigers","Comerica Park","2023-2026",-0.00356169921200316,-0.00346953600297992,-0.000960832221046137,-0.00397955305761227,-1.17148581389997,94.8786139171581,98.2888663867535,94.4755942356025,97.5545857192383,97.2066802437598,14410,0.00435090920726915,0.00318178332783961,0.00205731273904423,0.00302635908082688,0.849552375258219,44,34,41,35
"venue_12__base",34,"TBR","Rays","Tropicana Field","2015-2024",-0.00393525969296589,-0.00160613670440813,-0.000922927251373978,-0.00216570775271714,1.05787279025703,97.6291797640767,98.3563708545525,96.9935698254948,102.208253011116,96.9137094426045,35636,0.00334602950908465,0.00233472870823452,0.00174725824266462,0.00243028048231701,0.79083287045666,33,33,32,16
"venue_6130__base",35,"CIN","Reds","Great American Ball Park","2025",-0.00439409862274838,-0.000562580753893868,-0.00115242396949568,-0.00277960623082245,2.36515610951861,99.1695739023772,97.9476631322562,96.1413574684821,104.937137279767,96.553857649628,44,0.0143001278269656,0.00804624507841835,0.0062556457646621,0.00829250374465965,3.74012401457535,27,35,34,11
"venue_5__wind_tunnel",36,"CLE","Guardians","Progressive Field","2024-2026",-0.00474275707645569,-0.0031136276552948,-0.00317377487614351,-0.00416284820025235,-2.1708876159587,95.4039706383538,94.3478655761997,94.2211443695263,95.4683877118777,96.280416662913,9991,0.0049321668630276,0.00363055661596034,0.00225130507797253,0.0033679296978102,0.890781741543153,41,43,42,43
"venue_3312__base",37,"MIN","Twins","Target Field","2015-2026",-0.00507870076473413,0.00094142662478708,-0.0020767659130754,0.000181610842967217,-0.0101396931330823,101.389640923162,96.3015145795653,100.252111725227,99.9788338624865,96.0169474350001,44582,0.00316444839501108,0.00217296353668632,0.0016926457375595,0.00232513703999646,0.78001581305988,22,39,25,24
"venue_3313__base",38,"NYY","Yankees","Yankee Stadium","2015-2026",-0.0052725009950757,-0.00625490915390351,0.00615476636056971,-0.00157062161832977,-2.34302953238421,90.7671214068161,110.960943411944,97.8196669332398,95.1090506341475,95.8649564947355,41895,0.00321129643732016,0.00221434482734123,0.00170739077131486,0.00235036500078411,0.783196444002,52,8,29,45
"venue_4705__suntrust",39,"ATL","Braves","Truist Park","2017-2026",-0.00594194581998913,-0.00139379113294526,-0.00172227152873289,-0.00348585102996885,0.732578203584621,97.9426233062407,96.93282902091,95.1609501757875,101.529217895187,95.3399336492281,34481,0.00336706640514143,0.00235651298721568,0.00175173465754394,0.00244230697492226,0.790383641307676,31,36,38,20
"venue_3309__base",40,"WSH","Nationals","Nationals Park","2015-2026",-0.00601964285630212,-0.0024048346797344,-8.5361466172876e-05,-0.00360888998738999,-1.74852771835626,96.4502207644575,99.8479808747066,94.9901477977919,96.3500414921212,95.2789985018128,44124,0.00317061681242157,0.00217847814609002,0.00169446706477743,0.00232688863279201,0.78141873130658,36,28,39,39
"venue_4169__fence_reduced",41,"MIA","Marlins","loanDepot park","2021-2026",-0.00645605811512077,-0.00184855322273043,-0.00472332168575777,-0.00329975349499557,-1.30697076792662,97.2713484626819,91.5882978040235,95.4192903160063,97.2717680972013,94.9367328325884,22908,0.00375573778375304,0.00269100199877869,0.00186962594135218,0.00267343408375353,0.814104603852925,34,47,37,37
"venue_1__base",42,"LAA","Angels","Angel Stadium","2015-2026",-0.0069931697734215,-0.00526229650433454,0.00249739131308978,-0.00445833056068416,-0.218726015153243,92.2323180800232,104.447571728581,93.810956483711,99.5434210300654,94.5154943963473,42985,0.0032002777231494,0.00219833906439451,0.00170549814013057,0.0023479323479188,0.782608068749542,49,20,43,27
"venue_3289__base",43,"NYM","Mets","Citi Field","2015-2022",-0.00737585542769439,-0.00571643068943441,-0.000532477724403235,-0.00868039651599114,-1.09317873138095,91.5619700872922,99.0517173420575,87.949894911543,97.718047581301,94.2153670316057,27912,0.00357904223882473,0.00254376125357651,0.00181472198988018,0.00256229715273247,0.803894700082879,50,30,54,33
"venue_2395__bullpen_center",44,"SFG","Giants","Oracle Park","2021-2026",-0.00751048362343697,-0.000584633430551144,-0.0093824953589795,-0.00695110284639718,-2.01000724455755,99.1370219210101,83.2908359694919,90.3504961293213,95.8042169144558,94.1097827089194,22579,0.00376937844350491,0.00270583607150506,0.00187240183387602,0.0026780072568407,0.815309101736719,28,58,52,41
"venue_5325__globe_life",45,"TEX","Rangers","Globe Life Field","2021-2026",-0.00760118889187151,-0.00303247011477017,0.000846167074823404,-0.00290349082060626,1.83855106899806,95.5237673772267,101.506927945325,95.969381185721,103.837877318521,94.0386456467393,22406,0.00378073523095102,0.00271625309727972,0.00187606280567408,0.00268506443445909,0.812319482542794,39,23,36,13
"venue_31__base",46,"PIT","Pirates","PNC Park","2015-2026",-0.00770985992633993,-0.00351242615132631,-0.00612565199953208,-0.00238103640235321,0.0169579015591193,94.8153037198744,89.0909059757633,96.6946511238146,100.035398647476,93.9534186442777,44069,0.00317430808534474,0.00218013659805309,0.0016958290008533,0.00233078680539382,0.782169021855356,45,51,33,22
"venue_14__base",47,"TOR","Blue Jays","Rogers Centre","2015-2022",-0.00797662678023233,-0.00805342241895797,0.00278066341505135,0.00551823779891243,-0.510995756521156,88.1123339085701,104.952047332983,107.660404136474,98.9333235189368,93.7442024587082,27047,0.00363796780786013,0.00258279408274731,0.00183955070016569,0.00260936573842219,0.808530576627986,56,18,14,29
"venue_2680__base",48,"SDP","Padres","Petco Park","2015-2026",-0.00803765391862099,-0.00653461408845846,-0.00174371378854386,-0.00573808762132263,-3.28263737045113,90.3542486313508,96.8946427791199,92.0344008805493,93.1476693404199,93.6963409462166,41941,0.00320877159811503,0.00221282596436713,0.00170543003499832,0.00234851591439768,0.783752460806924,53,37,46,52
"venue_16__base",49,"ATL","Braves","Turner Field","2015-2016",-0.0082400280739084,-0.00303257230542265,-0.00640573058207802,-0.00946674388260035,-0.0492635024979882,95.5236165334871,88.5921176685788,86.8582894317622,99.8971649952008,93.5376257677404,8391,0.00536538809029443,0.00394075954916019,0.00239952802633979,0.00362616859801377,0.937266233850936,40,53,56,26
"venue_4169__cf_in_407",50,"MIA","Marlins","loanDepot park","2016-2019",-0.00975797251720495,-0.00363322810780302,-0.00623223706229732,-0.0107264960671536,0.737748575632194,94.6369878130366,88.9010900228812,85.1095045483667,101.540010771326,92.3471534819255,16425,0.00424839822067748,0.00309516660014489,0.00202844681200866,0.00296869902889438,0.847973347345224,46,52,57,19
"venue_3289__rf_in_362",51,"NYM","Mets","Citi Field","2023-2026",-0.0112162930209763,-0.008417970681357,0.000101669227654821,-0.00594254888661359,-3.05114295150424,87.5742237993322,100.181061406313,91.7505682550813,93.6309016044875,91.2034422273785,14111,0.00437562709536701,0.00320357222945895,0.00206332499021578,0.00303410952167601,0.8528100131778,57,27,48,50
"venue_4169__base",52,"MIA","Marlins","loanDepot park","2015",-0.0114813515482345,-0.00293672748820273,-0.00686367133586811,-0.00845881727334184,-0.263555925162309,95.6650931783754,87.7765769324846,88.2574906710667,99.4498409817421,90.9955658243828,4273,0.00686795785434744,0.00492980385925712,0.00295638372969981,0.004522967079212,1.10506760537154,38,55,53,28
"venue_7__base",53,"KC","Royals","Kauffman Stadium","2015-2025",-0.0136572433785363,-0.00332907054743897,-0.0086244021235264,-0.00287692518696599,1.64267513039112,95.0859551375712,84.6409143587868,96.0062595329845,103.428996734186,89.289087743222,43345,0.00320158016003426,0.0022013174083438,0.00170575884676991,0.00235010078259736,0.782922823996425,42,57,35,14
"venue_2__wall_deep",54,"BAL","Orioles","Oriole Park at Camden Yards","2022-2024",-0.0144947422998643,-0.00251943539533389,-0.00582486574952756,-0.0119336471305448,-0.0215087878691811,96.2810585164079,89.6265722987657,83.4337404119608,99.955101483042,88.6322657760915,12551,0.00458275093187289,0.0033607707089838,0.00213390234595611,0.00316986354790416,0.864142682281066,37,50,59,25
"venue_680__base",55,"SEA","Mariners","T-Mobile Park","2015-2026",-0.0161733020509106,-0.012987406530697,0.00120762235844745,-0.00654333809046592,-3.75801630998615,80.8292742887719,102.150638961722,90.9165541603356,92.1553411353314,87.3158283580229,42045,0.00320455145420358,0.00221218369769783,0.00170368891773327,0.00234557024988167,0.782120337071981,59,22,50,54
"venue_2395__base",56,"SFG","Giants","Oracle Park","2015-2019",-0.0167454029746946,-0.00598397023916135,-0.012287542168721,-0.00946557659631005,-4.84538356926348,91.1670546503577,78.1172758659274,86.8599098557187,89.8855199233819,86.8671490289067,20983,0.00392313670090258,0.0028333714911397,0.00192190587470726,0.00276976810527988,0.82683001169231,51,59,55,56
"venue_2394__base",57,"DET","Tigers","Comerica Park","2015-2022",-0.0182864775022742,-0.00753225571824726,-0.00577496455432291,-0.00596543946430339,-2.92677727038043,88.8816286746596,89.7154406886881,91.718791611447,93.8905083368449,85.6585366033594,30105,0.00353199345236322,0.00249042033936525,0.00180722549228163,0.0025516416375465,0.80136703374052,54,49,49,47
"venue_2889__base",58,"STL","Cardinals","Busch Stadium","2015-2026",-0.01835518422852,-0.0075833882347305,-0.00739552802498192,-0.0110995015327964,-0.894946981675897,88.8061519082931,86.8294002679345,84.5916992786173,98.1318457957713,85.6046522508681,44130,0.00318132066928987,0.00218360901943562,0.0016998612969461,0.0023366704962203,0.782552731745145,55,56,58,32
"venue_10__base",59,"ATH","Athletics","Oakland Coliseum","2015-2024",-0.0183804066544397,-0.0118619667785864,-0.00647577874342776,-0.00684353244370836,-3.04805160782972,82.4905372007482,88.4673698085196,90.4998250976928,93.6373546196818,85.5848711586345,37621,0.00331024341659348,0.00229996554407924,0.00173690823767834,0.00241406927172633,0.788586782112678,58,54,51,49
