"bacon","hr","xbh"
0.291138950825294,0.228317028411476,0.48054402076323
0.393937102704612,0.241068605764518,0.364994291530871
0.372292109879698,0.21908878443929,0.408619105681012
0.27850299670123,0.165573056880592,0.555923946418178
0.334013573957187,0.192513275143314,0.473473150899499
0.312481342971754,0.219134989701602,0.468383667326643
0.338113392510866,0.219994721907164,0.44189188558197
0.379819393015257,0.217107603787206,0.403073003197536
0.275997134464192,0.242525564312296,0.481477301223512
0.30920245065835,0.14058943709536,0.550208112246289
0.326173415154332,0.18148407300073,0.492342511844938
0.178143963086128,0.137827967607051,0.684028069306821
0.42652162190559,0.235944378508477,0.337533999585933
0.37252433100455,0.1936475603307,0.43382810866475
0.251459604450656,0.23721947479971,0.511320920749633
0.365422510509705,0.258937222635138,0.375640266855157
0.407585076653817,0.171546310730723,0.42086861261546
0.436424771996866,0.222816363509568,0.340758864493567
0.354885539150593,0.186467092333164,0.458647368516243
0.336420047242519,0.260677533463384,0.402902419294097
0.330774966235185,0.272283045918301,0.396941987846515
0.224830003524243,0.220513574779807,0.554656421695949
0.464634209636308,0.244606020340233,0.290759770023459
0.255383071593893,0.161877269861161,0.582739658544946
0.370773611580825,0.27324582286524,0.355980565553935
0.242686231510428,0.182780066286684,0.574533702202888
0.281808292461224,0.261006320637688,0.457185386901088
0.314507895845993,0.181136843149439,0.504355261004569
0.341723694056536,0.191030258478365,0.467246047465098
0.399133395652577,0.203599452369073,0.39726715197835
0.387018800260951,0.174901571202885,0.438079628536164
0.340289622487151,0.204446549416859,0.45526382809599
