"park_era_id","status","team_id","team","park","era","years_used","total_bbe","overall_idx","bacon_idx","hr_idx","carry_idx","carry_ft","k_idx","k_pct_pts","lhb_overall_idx","rhb_overall_idx","overall_ratio_idx","bacon_ratio_idx","hr_ratio_idx","carry_ratio_idx","k_ratio_idx","lhb_overall_ratio_idx","rhb_overall_ratio_idx","overall_resid","overall_se"
"venue_4169__fence_reduced","current","MIA","Marlins","loanDepot park","fence reduced","2021-2026",23523,94.62,97.58,88.59,96.25,-1.39,97.14,-0.17,95.36,93.9,98.26,99.45,89.57,99.51,99.23,98.48,97.99,-0.00641230375223369,0.00382290188830549
"venue_5325__globe_life","current","TEX","Rangers","Globe Life Field","globe life","2021-2026",23232,94.04,96.65,100.69,105.86,1.84,101.56,0.24,92.82,95.31,98.08,99.23,101.88,100.64,101.06,97.67,98.44,-0.0070750784411498,0.00383535759338211
"venue_31__base","current","PIT","Pirates","PNC Park","base configuration","2015-2026",44725,93.74,95.69,85.76,100.46,0.02,85.37,-1.25,95.26,92.25,97.98,99,86.69,100.01,94.34,98.45,97.46,-0.00743464856321512,0.00327326373242446
"venue_1__base","current","LAA","Angels","Angel Stadium","base configuration","2015-2026",43595,93.55,92.62,103.57,99.53,-0.29,109.92,1,93.3,93.84,97.92,98.28,104.82,99.9,104.53,97.82,97.97,-0.00765064922384947,0.00329915962614439
"venue_2680__base","current","SDP","Padres","Petco Park","base configuration","2015-2026",42512,93.18,91.61,94.81,90.58,-3.3,105.86,0.63,93.08,93.31,97.81,98.04,95.9,98.84,102.85,97.75,97.8,-0.00808247863363993,0.00330660237545616
"venue_2395__bullpen_center","current","SFG","Giants","Oracle Park","bullpen center","2021-2026",23263,93.15,98.38,78.85,94.46,-1.99,92.05,-0.64,92.46,93.89,97.8,99.64,79.66,99.3,97.11,97.55,97.99,-0.00811205200688595,0.00383159183538898
"venue_3289__rf_in_362","current","NYM","Mets","Citi Field","rf in 362","2023-2026",14811,89.98,88.91,98.17,91.16,-3.1,105.61,0.61,91.39,88.63,96.8,97.4,99.32,98.91,102.74,97.21,96.31,-0.0117931246513761,0.00438924749524336
"venue_680__base","current","SEA","Mariners","T-Mobile Park","base configuration","2015-2026",42564,86.28,82.95,101.62,89.49,-3.66,121.23,2.04,85.94,86.71,95.63,95.98,102.84,98.72,109.22,95.47,95.69,-0.0160846020494605,0.00330304375031923
"venue_2889__base","current","STL","Cardinals","Busch Stadium","base configuration","2015-2026",44977,84.11,89.84,82.68,97.75,-0.89,87.18,-1.09,83.6,84.71,94.95,97.62,83.56,99.69,95.1,94.72,95.05,-0.0186086125933291,0.00327738728818437
"venue_10__base","historical","ATH","Athletics","Oakland Coliseum","base configuration","2015-2024",37621,84.72,84.94,85.13,91.55,-2.97,98.87,-0.01,84.15,85.37,95.14,96.46,86.06,98.96,99.95,94.89,95.27,-0.0179012416828599,0.0034165986958092
"venue_14__base","historical","TOR","Blue Jays","Rogers Centre","base configuration","2015-2022",27047,93.38,89.58,104.87,98.76,-0.55,99.33,0.03,93.67,93.13,97.87,97.56,106.14,99.81,100.14,97.94,97.74,-0.00784729985761302,0.00373681362841665
"venue_2536__dunedin","historical","TOR","Blue Jays","TD Ballpark","dunedin","2021",1086,119.25,108.42,119.61,105.8,1.81,105.33,0.58,118.88,119.51,106.02,102.02,121.15,100.64,102.63,106.01,106.18,0.022182783600127,0.00998012294403408
"venue_2756__buffalo","historical","TOR","Blue Jays","Sahlen Field","buffalo","2021",1197,107.12,103.03,111.54,87.92,-4.19,98.24,-0.07,106.83,107.38,102.2,100.74,112.93,98.53,99.68,102.16,102.3,0.00810518145039664,0.00970118833610605
"venue_16__base","historical","ATL","Braves","Turner Field","base configuration","2015-2016",8391,92.78,95.73,84.6,100.28,-0.04,103.23,0.39,93.18,92.42,97.68,99.01,85.51,99.99,101.75,97.79,97.52,-0.00854719138610624,0.00543510619836917
"venue_15__base","historical","AZ","Diamondbacks","Chase Field","base configuration","2015-2017",12726,105.26,107.83,99.34,110.28,3.32,99.52,0.05,105.24,105.25,101.61,101.88,100.52,101.16,100.21,101.65,101.62,0.00594390925257045,0.00472762922960014
"venue_2395__base","historical","SFG","Giants","AT&T Park","base configuration","2015-2019",20983,86.15,92.57,72.72,86.21,-4.76,96.3,-0.25,85.39,86.99,95.59,98.26,73.42,98.33,98.88,95.29,95.78,-0.0162403409207662,0.00401479473849712
"venue_5__base","historical","CLE","Guardians","Progressive Field","base configuration","2015-2023",32827,98.03,95.64,98.08,93.65,-2.27,98.96,0,97.74,98.34,99.34,98.99,99.23,99.21,99.99,99.25,99.41,-0.00244579622235914,0.00352898620144861
"venue_4169__base","historical","MIA","Marlins","Marlins Park","base configuration","2015",4273,90.33,96.07,83.78,99.61,-0.26,97.28,-0.16,91.09,89.62,96.91,99.09,84.67,99.91,99.29,97.11,96.62,-0.0113914483957545,0.00692086887399716
"venue_4169__cf_in_407","historical","MIA","Marlins","loanDepot park","cf in 407","2016-2019",16425,91.9,95.33,85.43,102.49,0.7,102.09,0.28,92.06,91.78,97.4,98.92,86.36,100.25,101.28,97.43,97.31,-0.00956599925166418,0.00433435195304071
"venue_3289__base","historical","NYM","Mets","Citi Field","base configuration","2015-2022",27912,93.94,92.65,97.81,97.33,-1.03,114.05,1.38,93.86,94.06,98.05,98.28,98.95,99.64,106.24,98,98.04,-0.00719181378700587,0.00367741375909722
"venue_2__base","historical","BAL","Orioles","Oriole Park at Camden Yards","base configuration","2015-2021",25711,101.69,98.04,116.26,98.12,-0.76,87.09,-1.09,101.1,102.27,100.49,99.56,117.73,99.73,95.06,100.32,100.67,0.00179619023392581,0.00379725341601632
"venue_2__wall_deep","historical","BAL","Orioles","Oriole Park at Camden Yards","wall deep","2022-2024",12551,87.59,96.59,86.24,100.24,-0.05,92.7,-0.58,88.35,86.9,96.04,99.22,87.18,99.98,97.39,96.24,95.75,-0.0145720361075004,0.00466327969189366
"venue_13__base","historical","TEX","Rangers","Globe Life Park in Arlington","base configuration","2015-2019",21828,109.5,108.52,105.87,108.77,2.81,85.25,-1.26,109.27,109.66,102.95,102.04,107.16,100.99,94.3,102.94,103.03,0.010857057651022,0.00398148968524241
"venue_12__base","historical","TBR","Rays","Tropicana Field","base configuration","2015-2024",35636,96.98,98.05,96.81,103.6,1.08,116.56,1.61,96.84,97.15,99.01,99.56,97.94,100.38,107.28,98.96,99.03,-0.00366419236925701,0.00345079417593926
"venue_2523__steinbrenner","historical","TBR","Rays","George M. Steinbrenner Field","steinbrenner","2025",4071,105.53,103.54,108.53,90.06,-3.47,94.07,-0.45,105.01,106.02,101.7,100.86,109.87,98.78,97.95,101.57,101.86,0.00625439814436784,0.00692161429052131
"venue_7__base","historical","KC","Royals","Kauffman Stadium","base configuration","2015-2025",43345,88.52,95.68,80.43,105.43,1.69,79.93,-1.75,89.09,88.03,96.34,99,81.26,100.59,92.09,96.48,96.11,-0.0134822407743844,0.00331063504106808
"venue_2394__base","historical","DET","Tigers","Comerica Park","base configuration","2015-2022",30105,84.43,90.22,86.2,91.63,-2.94,86.26,-1.17,83.79,85.18,95.05,97.71,87.14,98.97,94.72,94.78,95.2,-0.0182285043866871,0.00363379665261917
