player_id,season,n10_sav,n10_sav_native,eff_cnt_sav,flag_le2_sav,fb_cnt_sav,brk_cnt_sav,off_cnt_sav
678394,2024,3,3,3.165157941381275,0,1,1,1
678394,2025,5,5,4.335310234800402,0,3,1,1
678906,2025,5,5,3.9060559399668637,0,2,2,1
679525,2024,5,5,4.084566872528836,0,2,2,1
680570,2023,3,3,3.045364334017171,0,1,1,1
680570,2024,4,4,3.118976476679413,0,1,2,1
680573,2024,3,3,3.27825199328646,0,1,1,1
680573,2025,3,3,3.2253008829332837,0,1,2,0
680684,2025,4,4,3.714943512814308,0,2,1,1
680686,2021,3,3,2.7001776716907977,0,1,2,0
680686,2022,3,3,3.3795886364711687,0,1,2,0
680686,2023,5,5,4.79321937841901,0,3,2,0
680694,2022,3,3,3.27919814157053,0,1,2,0
680694,2023,4,4,4.302148492957383,0,2,2,0
680694,2024,4,4,3.4111065629690267,0,2,2,0
680694,2025,4,4,3.622707338325095,0,2,2,0
680723,2023,3,3,3.1571636042179696,0,2,1,0
680730,2024,3,3,3.0038509369011073,0,1,1,1
680730,2025,4,4,2.622414555694848,0,1,2,1
680732,2025,3,3,3.3735915255380875,0,1,2,0
680736,2024,3,3,2.405870994337289,0,1,2,0
680739,2022,4,4,3.2327307523211006,0,1,2,1
680885,2024,5,5,5.162462701206984,0,2,2,1
680885,2025,6,6,4.706856949203599,0,3,2,1
680897,2024,2,2,2.8235825615540997,1,1,1,0
681035,2024,3,4,2.363817585181096,0,1,2,1
681190,2024,6,6,5.447631914406807,0,3,2,1
681190,2025,5,5,5.3419361759184785,0,3,2,0
681217,2022,3,3,3.438813196789524,0,1,1,1
681217,2023,4,4,4.274417610600556,0,2,1,1
681293,2024,4,4,3.8146681620165865,0,2,2,0
681293,2025,4,4,4.861732332464703,0,2,2,0
681343,2025,5,5,3.571938848406915,0,2,2,1
681347,2025,4,4,3.7697724565345228,0,1,2,1
681857,2023,4,4,4.107354956601188,0,2,1,1
681857,2024,4,4,4.3910878481034885,0,2,1,1
681857,2025,4,4,4.345445538531066,0,2,1,1
681867,2024,4,4,3.8031400644018065,0,2,1,1
682051,2022,5,5,3.4601752186780197,0,2,2,1
682052,2025,4,4,3.836474126818488,0,2,1,1
682227,2023,4,3,3.7307307755443126,0,2,0,1
682243,2023,2,2,2.378146234486884,1,1,1,0
682243,2024,4,3,3.7501581277672367,0,2,0,1
682243,2025,5,4,3.858257317012124,0,2,1,1
682610,2024,4,4,4.60540859185027,0,3,1,0
682847,2023,4,4,3.7293888200329772,0,2,1,1
682847,2025,5,5,4.478039693343842,0,3,1,1
682990,2023,5,5,4.257193070764033,0,2,2,1
682990,2024,5,5,4.448081987047186,0,2,2,1
682990,2025,3,3,3.360666756284446,0,2,1,0
683003,2024,2,2,2.654350480437437,1,1,1,0
683004,2025,4,4,3.9170524963375564,0,2,1,1
683155,2024,3,4,2.587991718426501,0,1,2,1
683769,2023,3,3,3.350465379641232,0,1,1,1
684007,2024,2,2,2.6860201102821932,1,1,0,1
684007,2025,3,3,2.7366819373518765,0,1,1,1
684320,2024,4,4,3.579892460030501,0,2,2,0
685299,2024,3,3,2.795560649688295,0,1,1,1
685299,2025,3,3,2.5664987386108518,0,1,1,1
685326,2025,3,3,2.509940808540803,0,1,2,0
685410,2023,3,3,2.638397120981062,0,2,1,0
685503,2021,5,5,5.293732926667548,0,3,1,1
686218,2023,3,3,2.2708177214614977,0,1,1,1
686218,2025,3,3,2.9150269639994177,0,1,1,1
686563,2024,5,5,4.697349755268078,0,3,1,1
686563,2025,5,5,4.896775962706154,0,3,1,1
686610,2022,3,3,2.55918106206014,0,1,1,1
686610,2023,3,3,2.52368478167603,0,1,1,1
686613,2023,3,3,3.0455863362814606,0,2,1,0
686613,2024,5,5,4.680420863444041,0,3,1,1
686613,2025,4,4,4.06477627471384,0,2,1,1
686701,2025,2,3,2.687117421657091,1,1,2,0
686752,2022,3,3,2.4207989598822106,0,1,1,1
686752,2024,3,3,2.9083944105261637,0,1,1,1
686752,2025,3,3,3.307818261647504,0,1,1,1
686799,2024,2,2,1.7683653584299748,1,1,1,0
686799,2025,4,4,3.1555048960866094,0,2,1,1
686930,2025,4,4,2.749292057295246,0,1,2,1
686973,2022,3,4,2.696944362037811,0,1,2,1
686973,2023,3,4,2.51416733292101,0,1,2,1
687064,2025,3,3,3.7529111250107676,0,1,1,1
