"player_type","player_name","team","position","adp","pa","ab","h","2b","3b","bb","hbp","hr","sb","cs","r","rbi","ip","k","sv","hld","ottoneu_fg_pts"
"hitter","Luis García Jr.","WSN","2B",245.95,510.7,474.3,127.6,25.2,1.6,28.9,2,15.7,13.7,5.2,58.4,63,,,,,574
"hitter","Jordan Beck","COL","OF",233,524.1,475.1,118.1,24.6,3.4,41.1,3,15.7,15.8,4.7,63.5,60.3,,,,,573.8
"pitcher","Max Meyer","MIA","P",402.47,,,135,,,47,6,17,,,,,139,130,0,1,573.5
"hitter","Luis Robert Jr.","NYM","OF",115.37,521.3,472,111.5,20.8,1.4,39.2,5.6,19.5,29.5,7.7,65.5,62.1,,,,,573.4
"pitcher","Will Warren","NYY","P",348.63,,,121,,,49,6,17,,,,,134,133,0,1,572.9
"hitter","Isaac Paredes","HOU","3B",215.16,489.4,420.1,101.4,19,0.8,55.4,9.7,18,1.1,0.7,61,59.2,,,,,572.3
"hitter","Sal Stewart","CIN","1B",187.26,475.6,428.8,113.2,23.8,0.3,38.4,4.1,17.2,6.4,2.1,56.9,61.8,,,,,572.2
"pitcher","Casey Mize","DET","P",279.53,,,140,,,41,6,19,,,,,143,125,0,0,569.5
"hitter","Agustín Ramírez","MIA","C",83.74,507.6,461.6,114.5,25.5,1,37,4.9,18.2,11.6,3.4,59.6,65.6,,,,,569.1
"pitcher","Foster Griffin","WSN","P",542.11,,,135,,,39,6,17,,,,,137,123,0,1,568.7
"pitcher","Chad Patrick","MIL","P",333.63,,,124,,,47,6,21,,,,,140,136,0,0,568.3
"pitcher","Brayan Bello","BOS","P",322,,,157,,,52,7,17,,,,,150,125,0,0,565.7
"hitter","Colson Montgomery","CHW","SS",221.47,549.7,488.7,108.3,19.9,2.2,47.3,9,22,3,1.3,63.7,66.7,,,,,565.5
"pitcher","Nick Martinez","TBR","P",460,,,145,,,42,6,20,,,,,147,120,0,1,564.8
"hitter","Jeff McNeil","ATH","2B, OF",348.32,535.1,476.8,122.3,25.5,2.4,43,9.2,11.3,3.8,0.9,60.7,55.7,,,,,563.2
"pitcher","Matthew Liberatore","STL","P",456.63,,,148,,,48,6,19,,,,,148,124,0,0,562.7
"pitcher","Shota Imanaga","CHC","P",178.89,,,138,,,34,6,25,,,,,147,130,0,0,561.5
"hitter","Max Muncy","LAD","3B",237.89,456.6,382.4,85.1,16.1,1.2,64.6,5.8,20.9,2.8,0.9,60,61,,,,,557.8
"hitter","Caleb Durbin","BOS","3B",235.58,534.8,477.2,121.8,25.4,1.6,36.1,14.8,9.7,21.7,5.7,60.4,52.9,,,,,556.9
"hitter","Colt Keith","DET","2B, 3B",300.16,485.4,434.8,112.7,21.2,3.4,43.3,2.7,14.6,3.5,1.1,61.1,54.5,,,,,555.9
"pitcher","Michael Wacha","KCR","P",358.53,,,172,,,50,7,24,,,,,165,124,0,0,555.6
"hitter","Sal Frelick","MIL","OF",208.32,548.5,492.4,128.1,22.2,3.7,44.6,5.4,7.9,16.5,4.1,62.7,50.6,,,,,554.4
"pitcher","Mike Burrows","HOU","P",306.11,,,120,,,49,6,18,,,,,133,132,0,1,553.8
"pitcher","Grant Holmes","ATL","P",428.95,,,122,,,51,6,17,,,,,132,135,0,1,553.5
"hitter","Jac Caglianone","KCR","OF",214.32,493.2,445.9,110,21.4,2.2,37.3,6,18.7,2.8,1,59.4,63,,,,,552.7
"pitcher","Jeffrey Springs","ATH","P",445.74,,,172,,,55,7,28,,,,,170,136,0,0,552.4
"hitter","Noelvi Marte","CIN","OF, 3B",139.89,510.2,467.9,117.6,23.2,1.5,32.5,4.9,16.7,14.5,4.5,59.9,60.6,,,,,551.4
"hitter","Ryan Jeffers","MIN","C",264.05,505.1,443.8,107.8,22.7,0.7,47,9.1,16,2.6,0.9,58.9,58.5,,,,,550.8
"pitcher","Bailey Ober","MIN","P",315.11,,,150,,,37,6,26,,,,,152,132,0,0,550
"hitter","Jackson Holliday","BAL","2B",165.79,488.6,429.4,108.1,21.3,2.1,50.9,3.8,13,13.4,4.1,64,51.7,,,,,549.9
"pitcher","Braxton Garrett","MIA","P",447.95,,,129,,,29,5,15,,,,,127,114,0,1,549.9
"pitcher","Shane Bieber","TOR","P",236.84,,,121,,,34,5,15,,,,,126,114,0,1,548.3
"pitcher","Adrian Houser","SFG","P",500.26,,,152,,,51,7,16,,,,,147,112,0,0,545.8
