"game_date","season","mean_cd","num_pitches","num_games","fetched_at_utc"
2017-05-03,2017,0.341969066503567,1496,14,"2026-07-02T04:53:07Z"
2017-05-04,2017,0.334885996600627,1435,11,"2026-07-02T04:53:07Z"
2017-05-05,2017,0.334047893931327,1591,15,"2026-07-02T04:53:07Z"
2017-05-06,2017,0.334098141685312,1633,15,"2026-07-02T04:53:07Z"
2017-05-07,2017,0.328836128156876,1508,14,"2026-07-02T04:53:07Z"
2017-05-08,2017,0.341804192624322,1004,9,"2026-07-02T04:53:07Z"
2017-05-09,2017,0.342459337655554,1854,16,"2026-07-02T04:53:07Z"
2017-05-10,2017,0.341946951192994,1208,13,"2026-07-02T04:53:07Z"
2017-05-11,2017,0.33872196180228,969,10,"2026-07-02T04:53:07Z"
2017-05-12,2017,0.334020213360535,1214,14,"2026-07-02T04:53:07Z"
2017-05-13,2017,0.334337619705736,1355,14,"2026-07-02T04:53:07Z"
2017-05-14,2017,0.332424851522012,1991,17,"2026-07-02T04:53:07Z"
2017-05-15,2017,0.333851716976285,764,8,"2026-07-02T04:53:07Z"
2017-05-16,2017,0.336509500196619,1438,15,"2026-07-02T04:53:07Z"
2017-05-17,2017,0.338321886102081,1064,14,"2026-07-02T04:53:07Z"
2017-05-18,2017,0.336347517405327,1160,12,"2026-07-02T04:53:07Z"
2017-05-19,2017,0.341333260834438,1725,15,"2026-07-02T04:53:07Z"
2017-05-20,2017,0.339958497554953,1496,13,"2026-07-02T04:53:07Z"
2017-05-21,2017,0.334017422382186,1495,16,"2026-07-02T04:53:07Z"
2017-05-22,2017,0.346258758550648,665,9,"2026-07-02T04:53:07Z"
2017-05-23,2017,0.339369278689582,1395,15,"2026-07-02T04:53:07Z"
2017-05-24,2017,0.325325358468972,1401,15,"2026-07-02T04:53:07Z"
2017-05-25,2017,0.330343650215601,1051,10,"2026-07-02T04:53:07Z"
2017-05-26,2017,0.330736022514791,1584,15,"2026-07-02T04:53:07Z"
2017-05-27,2017,0.33238026580518,1621,16,"2026-07-02T04:53:07Z"
2017-05-28,2017,0.334853440287587,1454,15,"2026-07-02T04:53:07Z"
2017-05-29,2017,0.322286353266261,1450,15,"2026-07-02T04:53:07Z"
2017-05-30,2017,0.332791288029448,1745,15,"2026-07-02T04:53:07Z"
2017-05-31,2017,0.3317587179536,1569,15,"2026-07-02T04:53:07Z"
2017-06-01,2017,0.330218237290517,728,8,"2026-07-02T04:53:07Z"
2017-06-02,2017,0.337743604497356,1334,15,"2026-07-02T04:53:07Z"
2017-06-03,2017,0.333695705931788,1248,15,"2026-07-02T04:53:07Z"
2017-06-04,2017,0.329059442275672,1626,15,"2026-07-02T04:53:07Z"
2017-06-05,2017,0.328983898876515,642,7,"2026-07-02T04:53:07Z"
2017-06-06,2017,0.337540815468418,1741,15,"2026-07-02T04:53:07Z"
2017-06-07,2017,0.334440453281573,1462,15,"2026-07-02T04:53:07Z"
2017-06-08,2017,0.33352730677715,1016,12,"2026-07-02T04:53:07Z"
2017-06-09,2017,0.329720195143432,1438,15,"2026-07-02T04:53:07Z"
2017-06-10,2017,0.334528247725308,1645,17,"2026-07-02T04:53:07Z"
2017-06-11,2017,0.328654550383378,1717,15,"2026-07-02T04:53:07Z"
2017-06-12,2017,0.336138199662942,831,9,"2026-07-02T04:53:07Z"
2017-06-13,2017,0.334296974837049,1563,16,"2026-07-02T04:53:07Z"
2017-06-14,2017,0.331064533910985,1550,15,"2026-07-02T04:53:07Z"
2017-06-15,2017,0.334687310318888,1146,10,"2026-07-02T04:53:07Z"
2017-06-16,2017,0.335258418034543,1693,15,"2026-07-02T04:53:07Z"
2017-06-17,2017,0.333431095183757,1556,16,"2026-07-02T04:53:07Z"
2017-06-18,2017,0.322737892559988,1407,15,"2026-07-02T04:53:07Z"
2017-06-19,2017,0.338432386777021,1093,11,"2026-07-02T04:53:07Z"
