"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"oopsy","oopsy",2026,13185,"Orlando Arcia","MIN",89,98,21,4,0,7,0,10,2,10,0,0,0.230054,0.908163265306122,0.0714285714285714,0.0408163265306122,0,0,0,0.102040816326531,0.0204081632653061,0.102040816326531,0,0.214285714285714,0.285714285714286
"oopsy","oopsy",2026,13301,"Max Muncy","LAD",384,455,86,16,1,62,6,58,20,60,3,1,0.224319,0.843956043956044,0.136263736263736,0.0351648351648352,0.0021978021978022,0.0131868131868132,0.0021978021978022,0.127472527472527,0.043956043956044,0.131868131868132,0.00659340659340659,0.189010989010989,0.325274725274725
"oopsy","oopsy",2026,13324,"Ildemaro Vargas","ARI",84,91,20,4,0,5,1,10,1,8,1,0,0.237124,0.923076923076923,0.0549450549450549,0.043956043956044,0,0.010989010989011,0,0.10989010989011,0.010989010989011,0.0879120879120879,0.010989010989011,0.21978021978022,0.274725274725275
"oopsy","oopsy",2026,13329,"Jake Lamb",,1,1,0,0,0,0,0,0,0,0,0,0,0.21651,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,13338,"Omar Narváez",,1,1,0,0,0,0,0,0,0,0,0,0,0.216218,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,13419,"Christian Walker","HOU",534,595,124,23,1,48,8,68,25,77,3,1,0.232276,0.897478991596639,0.080672268907563,0.038655462184874,0.00168067226890756,0.0134453781512605,0.00168067226890756,0.114285714285714,0.0420168067226891,0.129411764705882,0.00504201680672269,0.208403361344538,0.289075630252101
"oopsy","oopsy",2026,13499,"Tom Murphy",,46,51,11,2,0,4,0,6,2,6,0,0,0.235669,0.901960784313726,0.0784313725490196,0.0392156862745098,0,0,0,0.117647058823529,0.0392156862745098,0.117647058823529,0,0.215686274509804,0.294117647058824
"oopsy","oopsy",2026,13510,"José Ramírez","CLE",605,679,160,34,3,65,5,88,23,86,38,8,0.263828,0.891016200294551,0.0957290132547865,0.0500736377025037,0.00441826215022091,0.00736377025036819,0.0117820324005891,0.12960235640648,0.0338733431516937,0.126656848306333,0.0559646539027982,0.235640648011782,0.331369661266568
"oopsy","oopsy",2026,13590,"Jesse Winker",,197,231,46,9,0,29,3,27,6,24,4,1,0.231373,0.852813852813853,0.125541125541126,0.038961038961039,0,0.012987012987013,0.00432900432900433,0.116883116883117,0.025974025974026,0.103896103896104,0.0173160173160173,0.199134199134199,0.324675324675325
"oopsy","oopsy",2026,13602,"Patrick Wisdom","SEA",6,7,1,0,0,1,0,1,0,1,0,0,0.174603,0.857142857142857,0.142857142857143,0,0,0,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.285714285714286
"oopsy","oopsy",2026,13611,"Mookie Betts","LAD",574,651,150,30,2,67,6,87,22,83,11,3,0.261543,0.881720430107527,0.102918586789555,0.0460829493087558,0.00307219662058372,0.00921658986175115,0.00460829493087558,0.133640552995392,0.0337941628264209,0.127496159754224,0.0168970814132104,0.230414746543779,0.333333333333333
"oopsy","oopsy",2026,13613,"Ketel Marte","ARI",559,637,150,31,2,67,7,87,25,85,6,2,0.267782,0.877551020408163,0.105180533751962,0.0486656200941915,0.00313971742543171,0.010989010989011,0.00313971742543171,0.136577708006279,0.0392464678178964,0.133437990580848,0.00941915227629513,0.235478806907378,0.340659340659341
