"nfbc_rank","nfbc_player_id","player_name","team","positions","adp","adp_min_pick","adp_max_pick","adp_diff","adp_picks","name_key","team_key"
712,9549,"Mitch Garver","SEA","C",597.88,561,566,,2,"mitchgarver","sea"
715,11629,"Masataka Yoshida","BOS","UT",598.17,549,585,,2,"masatakayoshida","bos"
718,8929,"Rob Refsnyder","SEA","OF",598.33,537,537,,1,"robrefsnyder","sea"
719,12181,"Eric Wagaman","MIN","1B, OF",598.33,555,594,,3,"ericwagaman","min"
720,11779,"Hunter Feduccia","TB","C",598.46,540,540,,1,"hunterfeduccia","tbr"
722,12631,"Sam Antonacci","CWS","2B",598.5,543,599,,2,"samantonacci","chw"
724,12444,"Nathan Church","STL","OF",598.54,565,578,,2,"nathanchurch","stl"
727,11584,"Endy Rodriguez","PIT","1B",598.71,551,596,,2,"endyrodriguez","pit"
728,10955,"Taylor Walls","TB","SS",598.75,561,596,,3,"taylorwalls","tbr"
730,9600,"Luis Torrens","NYM","C",598.83,573,591,,3,"luistorrens","nym"
731,12521,"Braden Montgomery","CWS","OF",598.88,570,581,,2,"bradenmontgomery","chw"
732,10205,"George Valera","CLE","UT",598.92,551,551,,1,"georgevalera","cle"
734,12518,"Kemp Alderman","MIA","OF",599.04,554,554,,1,"kempalderman","mia"
735,11606,"Curtis Mead","CWS","1B, 3B",599.13,567,590,,2,"curtismead","chw"
739,12378,"Braxton Fulford","COL","C",599.33,580,582,,2,"braxtonfulford","col"
741,10406,"Kevin Alcantara","CHC","OF",599.38,576,587,,2,"kevinalcantara","chc"
747,11797,"Andruw Monasterio","BOS","SS",599.71,570,570,,1,"andruwmonasterio","bos"
749,12495,"Henry Bolte","ATH","OF",599.75,571,571,,1,"henrybolte","ath"
750,8954,"Michael Conforto","CHC","OF",599.75,571,571,,1,"michaelconforto","chc"
752,12624,"Michael Arroyo","SEA","2B",599.88,574,574,,1,"michaelarroyo","sea"
753,12144,"Adrian Del Castillo","ARZ","UT",599.88,587,588,,2,"adriandelcastillo","arz"
756,11681,"Jonny DeLuca","TB","OF",599.92,575,575,,1,"jonnydeluca","tbr"
757,9387,"Adam Frazier","KC","2B, OF",599.96,585,592,,2,"adamfrazier","kcr"
762,10445,"Ramon Urias","STL","2B, 3B",600.04,585,594,,2,"ramonurias","stl"
764,11615,"Deyvison De Los Santos","MIA","1B",600.08,579,579,,1,"deyvisondelossantos","mia"
770,10135,"Andrew Knizner","SEA","C",600.17,581,581,,1,"andrewknizner","sea"
775,12406,"Ryan Ritter","COL","2B, SS",600.29,584,584,,1,"ryanritter","col"
776,9782,"Eloy Jimenez","BAL","UT",600.29,584,584,,1,"eloyjimenez","bal"
778,9524,"Jorge Mateo","ATL","SS",600.33,585,585,,1,"jorgemateo","atl"
779,11370,"Ezequiel Duran","TEX","1B, SS",600.42,587,587,,1,"ezequielduran","tex"
781,11516,"Michael Massey","KC","2B",600.5,589,589,,1,"michaelmassey","kcr"
783,12030,"Hector Rodriguez","CIN","OF",600.63,592,592,,1,"hectorrodriguez","cin"
785,11064,"Rafael Marchan","PHI","C",600.67,593,593,,1,"rafaelmarchan","phi"
786,12496,"Nelson Rada","LAA","OF",600.67,593,593,,1,"nelsonrada","laa"
787,8686,"Tyler Austin","CHC","1B",600.67,593,593,,1,"tyleraustin","chc"
789,11658,"Bryan Ramos","BAL","3B",600.75,595,595,,1,"bryanramos","bal"
793,12307,"Ryan Ward","LAD","OF",600.79,596,596,,1,"ryanward","lad"
794,11515,"Nate Eaton","BOS","OF",600.92,599,599,,1,"nateeaton","bos"
796,11762,"Rafael Flores Jr.","PIT","1B",600.92,599,599,,1,"rafaelfloresjr","pit"
798,12034,"Blaine Crim","COL","1B",600.96,600,600,,1,"blainecrim","col"
