"player_name","team","adp","adp_rank","proj_ip","proj_w","proj_sv","proj_hld","proj_k","proj_h","proj_bb","proj_hbp","proj_hr","proj_era","proj_whip","sp_skillz_2025_score_stabilized","sp_skillz_2025_rank_stabilized","sp_skillz_2026_score_stabilized","sp_skillz_2026_rank_stabilized","eno_rank","ck_rank","ds_rank","ottoneu_fg_pts"
"Chase Dollander","COL",547.91,165,112,5,0,0,104,116,53,6,16,5.04,1.5,-11.439,219,-12.049,220,196,,,361.4
"Bryce Elder","ATL",549.27,166,115,7,0,1,95,119,39,5,15,4.44,1.36,-7.419,170,-7.46,170,192,,,419.1
"Hunter Barco","PIT",551.12,167,89,5,0,1,85,83,39,5,10,4.1,1.37,,,,,109,,,361.8
"Richard Fitts","STL",553.15,168,129,7,0,1,101,132,42,6,17,4.49,1.34,-3.402,102,-3.674,110,149,,,464.3
"Foster Griffin","WSN",555.82,169,145,8,0,1,129,144,42,6,19,4.09,1.28,,,,,175,,,582.9
"Robert Gasser","MIL",561.21,170,77,5,0,1,75,71,24,4,11,3.89,1.23,-2.078,89,-2.211,92,129,,,319.9
"Eric Lauer","TOR",571.06,171,67,3,0,4,59,65,22,3,11,4.64,1.29,-6.52,159,-6.081,150,221,,,250.5
"Colin Rea","CHC",578.82,172,87,4,0,1,70,86,26,4,13,4.5,1.3,-7.23,164,-7.549,172,220,,,314.3
"Logan Allen","CLE",578.91,173,123,6,0,1,97,126,47,6,17,4.67,1.4,-13.294,228,-13.322,226,197,,,412.5
"Drew Anderson","DET",579.73,174,77,4,0,9,70,69,32,4,9,4.17,1.32,,,,,152,,,347.7
"Quinn Mathews","STL",580.27,175,40,2,0,0,38,39,21,2,5,4.55,1.48,,,,,185,,,140.1
"Chris Paddack","MIA",581.88,176,136,7,0,1,101,145,37,6,21,4.79,1.34,-10.074,207,-10.592,210,207,,,448.1
"J.T. Ginn","ATH",582.91,177,77,5,0,1,73,76,28,4,9,4.18,1.34,2.966,44,3.045,44,144,,,315.5
"Alek Manoah","LAA",583.12,178,62,3,0,0,48,63,29,3,9,5.28,1.48,,,,,193,,,184.3
"Carmen Mlodzinski","PIT",586.58,179,81,5,0,1,75,76,29,4,8,3.83,1.3,,,,,163,,,358.4
"Cade Povich","BAL",586.85,180,20,1,0,1,19,19,7,1,3,4.37,1.29,-4.1,118,-3.815,115,167,,,79.7
"Jose Quintana","COL",586.91,181,144,6,0,0,94,168,55,7,23,5.79,1.56,-16.269,238,-16.13,240,212,,,347.9
"Emerson Hancock","SEA",587,182,79,4,0,1,64,77,27,4,11,4.33,1.32,-14.009,233,-13.604,230,184,,,288.1
"JP Sears","SDP",587.24,183,33,2,0,1,27,32,10,1,6,4.64,1.25,-9.196,192,-7.826,180,162,,,112.2
"Davis Martin","CHW",587.52,184,148,7,0,0,115,150,53,7,20,4.59,1.38,-11.367,218,-12.133,221,178,,,509.2
"Gage Jump","ATH",588.36,185,52,3,0,0,49,51,20,3,7,4.39,1.36,,,,,218,,,195.1
"Lance McCullers Jr.","HOU",588.39,186,107,6,0,1,101,101,53,6,14,4.5,1.43,-4.149,120,-5.303,138,195,,,386
"Aaron Civale","ATH",589.58,187,132,7,0,0,108,133,43,6,21,4.86,1.34,-9.234,195,-10.655,212,230,,,441.7
"Andre Pallante","STL",590.36,188,134,7,0,0,99,140,53,7,12,4.39,1.44,-9.773,203,-9.444,197,147,,,498
"Michael Lorenzen","COL",590.45,189,143,6,0,0,114,157,55,7,22,5.32,1.48,-6.462,158,-6.394,153,233,,,421.4
"Clarke Schmidt","NYY",592.88,190,31,2,0,1,30,28,11,1,4,3.94,1.22,-1.079,71,-1.069,79,,,,135.4
"Griffin Canning","SDP",593.58,191,107,6,0,1,91,103,41,5,14,4.41,1.34,-5.087,136,-5.617,145,,,,399.8
"Cody Bradford","TEX",594.27,192,76,4,0,1,63,75,17,3,13,4.37,1.22,,,,,190,,,277.5
"Jake Irvin","WSN",594.42,193,121,5,0,1,90,128,41,6,19,5.02,1.39,-12.76,224,-13.501,229,201,,,371.9
"Josiah Gray","WSN",595.06,194,97,4,0,0,76,101,41,5,16,5.2,1.46,,,,,203,,,272.4
"Germán Márquez","SDP",595.85,195,111,6,0,1,82,115,40,5,18,4.94,1.4,-18.212,245,-18.808,245,,,,334
"Ryan Bergert","KCR",596.12,196,60,3,0,1,47,63,25,3,9,5.14,1.45,-9.618,200,-9.595,198,186,,,183.5
"Patrick Sandoval","BOS",596.33,197,91,5,0,1,81,90,37,5,10,4.3,1.41,,,,,145,,,356.4
"Taijuan Walker","PHI",596.39,198,121,6,0,1,84,129,47,6,20,5.31,1.45,-13.315,229,-14.204,233,224,,,327
"Carson Whisenhunt","SFG",596.52,199,58,3,0,1,48,58,21,3,8,4.53,1.36,-8.143,181,-6.793,159,213,,,208
"Kutter Crawford","BOS",597.27,200,81,4,0,1,75,78,24,4,13,4.47,1.27,,,,,187,,,306.7
"Trevor McDonald","SFG",598.06,201,73,4,0,1,59,75,25,3,8,4.29,1.38,6.348,25,6.894,25,160,,,284.8
"Janson Junk","MIA",599.12,202,93,5,0,1,69,98,22,4,13,4.39,1.28,-4.707,130,-4.556,122,209,,,337.5
"Miles Mikolas","WSN",599.15,203,141,6,0,0,93,154,35,6,23,5.03,1.34,-13.489,231,-13.337,227,223,,,423.1
