"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Crochet, Garrett","676979","64.2","","","3.2","8.0","","","","24.7",""
"Young, Alex","622065","13.9","25.3","22.6","","19.2","19.0","","","",""
"de Geus, Brett","676969","0.5","55.1","24.8","","0.4","19.1","","","",""
"Thornton, Trent","663423","38.9","0.7","21.0","8.1","6.3","25.1","","","",""
"Santana, Dennis","642701","6.1","42.1","0.6","28.2","20.6","2.5","","","",""
"Kennedy, Ian","453178","82.5","","1.2","2.6","8.0","5.1","0.6","","",""
"Wells, Tyler","669330","58.6","","27.0","","10.4","4.0","","","",""
"Misiewicz, Anthony","664948","35.6","","33.8","0.2","","30.4","","","",""
"Carrasco, Carlos","471911","39.9","10.7","","19.9","24.6","4.8","","","",""
"Detwiler, Ross","446321","33.9","17.3","36.8","","4.4","7.5","","","",""
"McGee, Jake","459429","90.1","","","9.9","","","","","",""
"Minter, A.J.","621345","42.5","","44.2","","13.4","","","","",""
"Chargois, JT","608638","4.8","35.5","","59.7","","","","","",""
"Allen, Logan","663531","41.9","1.5","0.5","2.3","16.1","8.8","","","28.9",""
"Montero, Rafael","606160","35.4","25.9","","19.5","19.2","","","","",""
"Fry, Paul","643316","54.5","","","45.0","0.6","","","","",""
"Givens, Mychal","571710","46.7","0.1","","15.7","37.5","","","","",""
"Graveman, Kendall","608665","8.5","63.0","","17.6","6.9","4.0","","","",""
"Dunn, Justin","643290","51.7","","","14.8","1.3","32.2","","","",""
"Almonte, Yency","622075","45.1","3.7","","22.4","10.2","","","","18.6",""
"Alcala, Jorge","660896","37.6","6.1","","40.7","15.5","","","","",""
"Jiménez, Joe","641729","54.0","","","32.9","13.0","","","","",""
"Watson, Tony","453265","25.1","17.6","","24.1","33.3","","","","",""
"Doolittle, Sean","448281","81.1","","","5.4","","9.0","4.5","","",""
"Hudson, Daniel","543339","67.7","0.7","","28.8","2.8","","","","",""
"Raley, Brooks","548384","7.1","15.1","32.4","","3.8","12.7","","","28.9",""
"Andriese, Matt","542882","43.9","4.4","5.1","","33.9","12.6","","","",""
"Anderson, Chase","502624","32.9","6.2","18.1","4.3","29.5","9.0","","","",""
"Leone, Dominic","608678","47.4","1.4","23.6","27.6","","","","","",""
"Howard, Sam","607572","43.3","","","55.0","1.8","","","","",""
"Mayza, Tim","641835","0.1","71.5","","28.4","","","","","",""
"Holland, Derek","502706","9.8","46.8","","","9.6","33.8","","","",""
"Bielak, Brandon","656232","40.0","15.9","5.3","6.1","11.5","10.4","","","10.8",""
"Loup, Aaron","571901","","51.9","32.9","","8.6","6.6","","","",""
"Lamet, Dinelson","659275","44.4","3.4","","50.5","1.8","","","","",""
"Garrett, Amir","607237","46.6","2.3","","51.1","","","","","",""
"Payamps, Joel","606303","41.1","19.5","","0.2","9.7","","","","29.5",""
"Toussaint, Touki","657053","3.9","47.7","","","","27.2","21.2","","",""
"Hernández, Elieser","622694","51.5","1.8","","34.5","12.2","","","","",""
"Sims, Lucas","608371","41.2","","","34.5","0.4","23.9","","","",""
"Tomlin, Josh","458708","22.5","","47.2","","1.5","28.8","","","",""
"Helsley, Ryan","664854","54.0","1.7","","34.7","2.7","6.8","","","",""
"Clay, Sam","621348","","66.0","","24.4","9.6","","","","",""
"LeBlanc, Wade","453281","15.0","23.9","28.0","","22.3","10.8","","","",""
"Taylor, Josh","657031","37.2","11.9","","46.0","","4.9","","","",""
"Wisler, Matt","605538","9.1","","","90.9","","","","","",""
"Winkler, Dan","595465","19.9","6.4","66.6","","","7.1","","","",""
"Peralta, Wandy","593974","15.0","22.5","","14.3","48.1","","","","",""
"Bickford, Phil","641360","64.2","0.1","","35.3","0.4","","","","",""
